table_name,column_name,datatype,unit,description
des_dr2.mag,ra,adql:DOUBLE,degrees,"right ascension, with quantized precision for indexing (alphawin_j2000 has full precision but not indexed) [degrees]"
des_dr2.mag,tilename,adql:CHAR,,identifier of each one of the tiles on which the survey is gridded
des_dr2.mag,wavg_magerr_psf_g,adql:REAL,mag,"g-band uncertainty of weighted averaged magnitude, of psf fit single epoch detections [mag]"
des_dr2.mag,wavg_magerr_psf_i,adql:REAL,mag,"i-band uncertainty of weighted averaged magnitude, of psf fit single epoch detections [mag]"
des_dr2.mag,wavg_magerr_psf_r,adql:REAL,mag,"r-band uncertainty of weighted averaged magnitude, of psf fit single epoch detections [mag]"
des_dr2.mag,wavg_magerr_psf_y,adql:REAL,mag,"y-band uncertainty of weighted averaged magnitude, of psf fit single epoch detections [mag]"
des_dr2.mag,wavg_magerr_psf_z,adql:REAL,mag,"z-band uncertainty of weighted averaged magnitude, of psf fit single epoch detections [mag]"
des_dr2.mag,wavg_mag_psf_g,adql:REAL,mag,"g-band weighted average magnitude, of psf fit single epoch detections [mag]"
des_dr2.mag,wavg_mag_psf_i,adql:REAL,mag,"i-band weighted average magnitude, of psf fit single epoch detections [mag]"
des_dr2.mag,wavg_mag_psf_r,adql:REAL,mag,"r-band weighted average magnitude, of psf fit single epoch detections [mag]"
des_dr2.mag,wavg_mag_psf_y,adql:REAL,mag,"y-band weighted average magnitude, of psf fit single epoch detections [mag]"
des_dr2.mag,wavg_mag_psf_z,adql:REAL,mag,"z-band weighted average magnitude, of psf fit single epoch detections [mag]"
des_dr2.mag,xwin_image,adql:DOUBLE,pixel,x-centroid from windowed measurements on coadded image [pixel]
des_dr2.mag,ywin_image,adql:DOUBLE,pixel,y-centroid from windowed measurements on coadded image [pixel]
des_dr2.mag,g_r,adql:REAL,mag,G-R color
des_dr2.mag,r_i,adql:REAL,mag,R-I color
des_dr2.mag,i_z,adql:REAL,mag,I-Z color
des_dr2.mag,z_y,adql:REAL,mag,Z-Y color
